view,agg,window,pool,n_obs,ic,t_stat,ls_spread,ls_t_stat
chapter,n_peers,unlock_d30,all,221,0.03326405171227477,0.4925355818938519,0.008896077286468464,0.15641640441095284
chapter,n_peers,unlock_d30,main_profitable,182,0.053271533395958436,0.7157289090533868,0.014803779723504724,0.26403854576849534
chapter,n_peers,unlock_d30,main_all,200,-0.018361035949734632,-0.2584062387705925,-0.030045950454682196,-0.5254663523256615
chapter,mean,unlock_d90,all,167,-0.03215953548810174,-0.41331049849803947,-0.13946802140752534,-1.2350976655577142
chapter,mean,unlock_d90,main_profitable,142,0.006027938816098764,0.07132482977029918,-0.04007353473516215,-0.3549345649542919
chapter,mean,unlock_d90,main_all,153,-0.05918893477387407,-0.7286031957663747,-0.14407783382768163,-1.2686617863453546
chapter,median,unlock_d90,all,167,-0.08088640990577031,-1.0424204195262732,-0.13753181126351027,-1.2866943194349756
chapter,median,unlock_d90,main_profitable,142,-0.017941580573194574,-0.21232182019263227,-0.0807232851842582,-0.7180666550902515
chapter,median,unlock_d90,main_all,153,-0.07976209418713924,-0.9832657775564291,-0.1849901837287599,-1.6071006201129825
chapter,top3_recent_mean,unlock_d90,all,167,0.011377921024048826,0.1461615029429921,0.1048106901875945,0.9171947638590876
chapter,top3_recent_mean,unlock_d90,main_profitable,142,0.01378189318528412,0.16308504826243583,0.05370191641863793,0.4227222946950397
chapter,top3_recent_mean,unlock_d90,main_all,153,-0.01839113213823995,-0.22603224437401254,0.046181784657039704,0.3887255753566212
chapter,n_peers,unlock_d90,all,167,0.06800430992475444,0.8755580703067365,0.03647351337052635,0.3701726719152365
chapter,n_peers,unlock_d90,main_profitable,142,0.1529228795043193,1.8309432359605105,0.09019662661530237,0.885066363123391
chapter,n_peers,unlock_d90,main_all,153,0.038860250575080045,0.4778837206749518,0.00822792522142808,0.08060763155090522
hs_l1,mean,d1_close,all,347,0.009344359655488892,0.17357135534232318,0.05041258752619675,1.5617353559624385
hs_l1,mean,d1_close,main_profitable,240,0.006112748812447599,0.09430465758068743,0.07853863774013796,1.8877509690724752
hs_l1,mean,d1_close,main_all,290,-0.015539068724446648,-0.26373858427311914,0.06087249560408465,1.7026981079241
hs_l1,median,d1_close,all,347,-0.01827395460750395,-0.33948032949515944,0.04429602638827212,1.105302854374804
hs_l1,median,d1_close,main_profitable,240,-0.04997429353387864,-0.771930374610309,0.008522322155372554,0.18148117095150446
hs_l1,median,d1_close,main_all,290,-0.052270185085975134,-0.8882687374469721,0.009593884769917394,0.23456469029066535
hs_l1,top3_recent_mean,d1_close,all,347,-0.003145520930724121,-0.05842574722852893,0.05096728584185198,1.3309313694756915
hs_l1,top3_recent_mean,d1_close,main_profitable,240,0.03832684027317549,0.5917124504727486,0.09566954138294288,1.8808704669353233
hs_l1,top3_recent_mean,d1_close,main_all,290,0.00398951644853425,0.06770487803167062,0.06629513950540364,1.5444958692077688
hs_l1,n_peers,d1_close,all,347,0.1238324501170036,2.317926428172467,0.11617052698479859,3.032689996103197
hs_l1,n_peers,d1_close,main_profitable,240,0.09316018524079384,1.4434828532910586,0.08500144540109801,2.3607023228979265
hs_l1,n_peers,d1_close,main_all,290,0.07855584262430004,1.3372694002660752,0.07248979004234313,2.3078271513357014
hs_l1,mean,d30,all,336,-0.03822587272687138,-0.6991142819329523,-0.012375812505141123,-0.1775151145977488
hs_l1,mean,d30,main_profitable,234,-0.05497441971640811,-0.8386135967503563,-0.09523466602577699,-1.078424169927717
hs_l1,mean,d30,main_all,281,-0.052425466362746156,-0.8768837857228253,-0.06529130048970037,-0.8655425453132416
hs_l1,median,d30,all,336,-0.017818118612324244,-0.32568970519104207,-0.03882234434571466,-0.5609961753189151
hs_l1,median,d30,main_profitable,234,-0.030808411327938382,-0.46948260037816436,-0.11118408993971274,-1.2510960705030956
hs_l1,median,d30,main_all,281,-0.026760532897436067,-0.44714916046151587,-0.072264200766235,-0.9660787607493654
hs_l1,top3_recent_mean,d30,all,336,-0.12012655949509916,-2.2114066969028103,-0.1387549659713886,-1.5711957850091702
hs_l1,top3_recent_mean,d30,main_profitable,234,-0.11965389901695762,-1.8357021920005598,-0.10646207116043596,-1.3162434964368683
hs_l1,top3_recent_mean,d30,main_all,281,-0.10409304422759258,-1.7481935769992896,-0.0779687028665653,-1.1029744822935277
hs_l1,n_peers,d30,all,336,0.08342503246285908,1.5299815327795672,0.1473787998996896,1.596948293388888
hs_l1,n_peers,d30,main_profitable,234,0.0700253888916611,1.0692196572004538,0.10074319345058531,1.2342121271044941
hs_l1,n_peers,d30,main_all,281,0.03104867693817596,0.5188653095682128,0.039755796176645694,0.5441576557599687
hs_l1,mean,m3,all,299,0.05226662996788576,0.9019796473520117,0.19633370830489977,1.3577532371859224
hs_l1,mean,m3,main_profitable,215,0.04434931834015266,0.6478944653078584,0.15062140840067365,1.287235519084348
hs_l1,mean,m3,main_all,248,0.027130708857171684,0.4256852381840016,0.10078394985608813,0.9192203136554984
hs_l1,median,m3,all,299,0.09557290248072584,1.6546478380165381,0.2556756988447477,1.5883163392479365
hs_l1,median,m3,main_profitable,215,0.10280284633511437,1.5083497590645547,0.151171191737724,1.2440684534009312
hs_l1,median,m3,main_all,248,0.0894669431470374,1.4088840907003077,0.1015562730019621,0.8402750172741434
hs_l1,top3_recent_mean,m3,all,299,-0.014005233521897954,-0.24138549866711617,-0.015797651083289954,-0.08583407706068868
hs_l1,top3_recent_mean,m3,main_profitable,215,-0.04286093421625153,-0.6261101062184425,-0.20524956422171942,-1.4587429055312993
hs_l1,top3_recent_mean,m3,main_all,248,-0.029104487941681596,-0.45667951744343493,-0.271173503855077,-1.7943718553294463
hs_l1,n_peers,m3,all,299,0.08199458274836491,1.4178432489188066,0.4298167138557238,2.335753663083684
hs_l1,n_peers,m3,main_profitable,215,0.06408356826158947,0.9371952592850951,0.21751027965421058,1.803360835914976
hs_l1,n_peers,m3,main_all,248,0.05460004697072754,0.8576476234184588,0.172843030578805,1.5577880889611229
