stock_code,company_name,delisting_date,delisting_reason,is_acquired
2626.HK,湖南有色金属公司,2015/03/31,私有化,1
1468.HK,嘉高达资本,2015/03/20,转板,0
0516.HK,瀚智集团,2015/02/17,被取消上市地位,0
1326.HK,传递娱乐,2015/01/09,转板,0
1673.HK,华章科技,2015/01/05,转板,0
0302_1.HK,永亨银行,2014/10/16,私有化,1
2280.HK,慧聪集团,2014/10/10,转板,0
0048.HK,中国汽车内饰,2014/08/25,转板,0
1997_1.HK,峻凌国际,2014/08/07,私有化,1
6168_1.HK,优通未来,2014/08/01,转板,0
6813_1.HK,凯德商用─S,2014/07/22,私有化,1
0074.HK,长城科技股份,2014/07/11,私有化,1
1639.HK,安捷利实业,2014/06/18,转板,0
1908.HK,建发国际集团,2014/05/26,转板,0
1633_1.HK,美即控股,2014/04/10,私有化,1
2886.HK,滨海投资,2014/02/11,转板,0
1385.HK,上海复旦,2014/01/08,转板,0
8229_1.HK,东大照明,2013/12/17,被取消上市地位,0
1349.HK,复旦张江,2013/12/16,转板,0
1522.HK,京投交通科技,2013/12/06,转板,0
0331_2.HK,春天百货,2013/12/05,私有化,1
3628.HK,仁恒实业控股,2013/11/25,转板,0
1302.HK,先健科技,2013/11/06,转板,0
1371.HK,中国生态旅游,2013/10/16,转板,0
0946.HK,洪良国际,2013/09/23,被取消上市地位,0
1355.HK,生物系统工程,2013/08/21,转板,0
1292.HK,长安民生物流,2013/07/18,转板,0
0325_2.HK,创生控股,2013/07/15,私有化,1
0954.HK,常茂生物,2013/06/28,转板,0
0739.HK,浙江玻璃,2013/05/31,被取消上市地位,0
8188_1.HK,牡丹汽车,2013/03/13,被取消上市地位,0
8043_1.HK,年代煤矿机电,2012/10/04,私有化,1
1103.HK,大生农业金融,2012/07/16,转板,0
3633.HK,中裕能源,2012/07/11,转板,0
0870.HK,恒丰金业,2012/07/09,被取消上市地位,0
1688.HK,阿里巴巴,2012/06/21,私有化,1
3938_1.HK,三林环球,2012/06/20,私有化,1
1683_1.HK,国际煤机,2012/06/11,私有化,1
0288_1.HK,科士威集团,2012/06/04,私有化,1
0955.HK,Schramm,2012/04/02,私有化,1
0448.HK,汉登控股,2012/03/20,私有化,1
3928_1.HK,郑州华润燃气,2012/02/14,私有化,1
0968_1.HK,小肥羊,2012/02/03,私有化,1
0048_1.HK,联洲国际,2012/01/04,被取消上市地位,0
0667_1.HK,瀚宇博德,2011/12/09,私有化,1
0597.HK,华润微电子,2011/11/02,私有化,1
1265.HK,天津津燃公用,2011/10/18,转板,0
0502.HK,环新国际,2011/09/19,被取消上市地位,0
1236_1.HK,国农控股,2011/08/29,转板,0
0304.HK,宜进利(集团),2011/07/29,被取消上市地位,0
