jydm,jydm_mc,p02565_f001,p02565_f002,p02565_f003,p02565_f004,p02565_f009,p02565_f010,p02565_f011,p02565_f005,p02565_f006,p02565_f007,p02565_f008
8012_1.HK,远东化工,远东化聚工业股份有限公司,Far Eastern Polychem Industries Limited,2005/11/21,2000/01/31,私有化,--,--,百慕大,中华人民共和国上海浦东东方路800号宝安大厦31楼,--,--
8097_1.HK,恒科创业,恒科创业有限公司,Arcontech Corporation,2005/10/28,2000/08/16,被取消上市地位,--,"该公司股份由2003年6月27日起停牌。该公司于2005年3月22日宣布,联交所拟行使其除牌权力,取消该公司股份于联交所的上市地位。该公司获给予六个月的期限(至2005年9月10日止),以提交可行的复牌建议并就该等引致联交所拟行使其除牌权力的事宜作出补救(‘限期’),以及该公司须于限期届满前最少十个营业日(定义见《创业板上市规则》)提交该复牌建议。股份停牌后,该公司于限期前向联交所提交复牌建议,但创业板上市委员会认为有关建议并不可行。在限期结束前,该公司未能按有关要求提交可行的复牌建议。因此,联交所将取消该公司股份的上市地位。",开曼群岛,香港九龙青山道422-428号秋创商业中心8楼8-A6室,--,--
8127_1.HK,山河控股,山河控股有限公司,Riverhill Holdings Limited,2005/10/18,2001/06/01,被取消上市地位,--,"该公司股份由2003年7月24日起停牌。2004年11月11日,该公司宣布联交所拟行使其除牌权力,取消该公司股份于联交所的上市地位。该公司获给予六个月的期限(至2005年5月4日止),以提交有效的复牌建议并就该等引致联交所拟行使其除牌权力的事宜作出补救。该公司须于该六个月期限届满前最少十个营业日(定义见《创业板上市规则》)提交该复牌建议。该公司曾在2005年3月4日向联交所提交复牌建议,但创业板上市委员会认为有关建议并不可行。该公司不同意创业板上市委员会的决定,其后向创业板上市(覆核)委员会提出上诉。创业板上市(覆核)委员会维持创业板上市委员会的决定,因此联交所将于2005年10月18日上午9时30分起取消该公司的上市地位。",开曼群岛,香港德辅道中54-58号软库中心15楼1502室,--,--
0285_1.HK,中国特种纤维,中国特种纤维控股有限公司,China Specialised Fibre Holdings Limited,2005/10/17,2000/11/15,被取消上市地位,--,"该公司自2005年3月23日起已处于除牌程序的第三阶段。根据除牌程序,若于第三阶段结束时(就该公司而言为2005年9月22日(‘限期’)),联交所仍未收到该公司的复牌建议,该公司股份的上市地位即会被取消。该公司在除牌程序第三阶段结束时,仍未有提交任何复牌建议。联交所已通知该公司,其须根据《上市规则》第17项应用指引第3.1段,于本通告发出的同一日刊发公告,向公众交待其股份的上市地位被取消一事。",百慕大,中华人民共和国福建省长乐市漳港工业区,--,--
8183_1.HK,丽辉国际,丽辉国际控股有限公司,lai Fai International Holdings Limited,2005/10/14,2003/02/26,私有化,--,--,开曼群岛,香港九龙土瓜湾炮仗街71-77号嘉景花园地下后座,--,--
0067_1.HK,上海地产,上海地产控股有限公司,Shanghai Land Holdings Limited,2005/10/13,--,私有化,--,"根据和解契据，公司于二零零五年九月三十日以现金分派方式将其大部份资产退还予股东。总金额港币1,124,000,000元已以现金分派方式向股东退还。将若干非现金可供分派资产转至New NongkaiGlobal Investments Limited之程序，预期将于二零零五年十月完成。公司被视为不再具有充分之营运水平及足够之资产，以确保其股份根据上市规则第13.24条继续上市。",香港中环金融街8号国际金融中心二期18楼,香港中环金融街8号国际金融中心二期18楼,--,--
8160_1.HK,媒体世纪,媒体世纪集团,Media Nation Inc,2005/09/30,2002/01/24,私有化,--,--,开曼群岛,香港皇后大道中99号中环中心35楼3507室,--,--
0501_1.HK,庆丰金集团,庆丰金集团有限公司,RNA Holdings Limited,2005/09/26,--,被取消上市地位,--,"该公司自2005年3月4日起已处于除牌程序的第三阶段。根据除牌程序,若于第三阶段结束时(就该公司而言为2005年9月3日(‘限期’)),联交所仍未收到该公司有效的复牌建议,该公司股份的上市地位即会被取消。该公司在股份停牌后至限期结束前期间,曾于2004年12月15日向联交所提交一份复牌建议(‘复牌建议’),但经上市科审阅过有关复牌建议之后认为并不可行。",百慕大,香港西区山道7-9号长发大厦16楼,--,--
8004.HK,国际融资控股,国际融资控股有限公司,International Capital Network Holdings Limited,2005/08/17,2001/11/30,被取消上市地位,--,"该公司股份由2002年11月13日起停牌。2004年8月18日,该公司宣布联交所拟行使其除牌权力,取消该公司股份于联交所的上市地位。该公司获给予六个月的期限(至2005年2月5日止),以提交有效的复牌建议并就该等引致联交所拟行使其除牌权力的事宜作出补救,以及该公司须于该六个月期限届满前最少十个营业日(定义见《创业板上市规则》)提交该复牌建议。由于该公司未能按有关要求提交可行的复牌建议,因此联交所将取消该公司股份的上市地位。",开曼群岛,香港中环干诺道中8号交易广场二期4003室,--,--
0246_1.HK,恒基中国,恒基中国集团有限公司,Henderson China Holdings Limited,2005/08/15,--,私有化,--,--,百慕大,香港中环金融街八号国际金融中心二期72-76楼,--,--
8179_1.HK,艾克国际,艾克国际控股有限公司,Akup International Holding Limited,2005/07/27,2001/11/05,被取消上市地位,--,"该公司股份由2004年2月5日起停牌。联交所于2004年11月30日宣布拟行使其除牌权力,取消该公司股份于联交所的上市地位。该公司获给予六个月的期限(至2005年5月29日止),以提交有效的复牌建议并就该等引致联交所拟行使其除牌权力的事宜作出补救,以及该公司须于该六个月期限届满前最少十个营业日(定义见《创业板上市规则》)提交该复牌建议。由于该公司未能按有关要求提交有效的复牌建议,创业板上市委员会决定根据《创业板上市规则》第9.14条取消该公司股份的上市地位。",开曼群岛,台湾台北市内湖区瑞光路26巷36弄6号5楼,--,--
0268.HK,金蝶国际,金蝶国际软件集团有限公司,Kingdee International Software Group Company Limited,2005/07/20,2001/02/15,转板,8.0677944256,--,开曼群岛,中国广东省深圳市南山区高新科技园南区科技南十二路2号金蝶软件园,"应用软件,系统开发及资讯科技顾问",--
0757_1.HK,和记环球电讯控股,和记环球电讯控股有限公司,Hutchison Global Communications Holdings Limited,2005/07/18,--,私有化,--,--,百慕大,香港夏悫道10号和记大厦22楼,--,--
