ipo_id,stock_code,concept_id,concept_name,data_date
HK_3200_HK_2026,3200.HK,011007_301740,次新股[HK],2026-05-09
HK_3268_HK_2026,3268.HK,011007_301740,次新股[HK],2026-05-09
HK_3277_HK_2026,3277.HK,011007_301740,次新股[HK],2026-05-09
HK_3288_HK_2025,3288.HK,011007_301740,次新股[HK],2026-05-09
HK_3296_HK_2026,3296.HK,011007_301737,阿里巴巴概念[HK],2026-05-09
HK_3296_HK_2026,3296.HK,011007_301740,次新股[HK],2026-05-09
HK_3296_HK_2026,3296.HK,011007_301758,腾讯概念[HK],2026-05-09
HK_3296_HK_2026,3296.HK,011007_301994,医疗美容器械[HK],2026-05-09
HK_3296_HK_2026,3296.HK,011007_305874,无人驾驶[HK],2026-05-09
HK_3296_HK_2026,3296.HK,011007_306636,芯片替代[HK],2026-05-09
HK_3296_HK_2026,3296.HK,011007_308680,华为概念[HK],2026-05-09
HK_3296_HK_2026,3296.HK,011007_308928,抖音概念(字节概念)[HK],2026-05-09
HK_3296_HK_2026,3296.HK,011007_309172,机器人概念[HK],2026-05-09
HK_3317_HK_2025,3317.HK,011007_301740,次新股[HK],2026-05-09
HK_3355_HK_2026,3355.HK,011007_301740,次新股[HK],2026-05-09
HK_3378_HK_2025,3378.HK,011007_301740,次新股[HK],2026-05-09
HK_3625_HK_2026,3625.HK,011007_301740,次新股[HK],2026-05-09
HK_3636_HK_2026,3636.HK,011007_301740,次新股[HK],2026-05-09
HK_3650_HK_2023,3650.HK,011007_301905,健康产业[HK],2026-05-09
HK_3650_HK_2023,3650.HK,011007_307344,体育用品股[HK],2026-05-09
HK_3696_HK_2025,3696.HK,011007_301740,次新股[HK],2026-05-09
HK_3750_HK_2025,3750.HK,011007_301740,次新股[HK],2026-05-09
HK_3858_HK_2025,3858.HK,011007_301740,次新股[HK],2026-05-09
HK_3880_HK_2025,3880.HK,011007_301740,次新股[HK],2026-05-09
HK_3881_HK_2025,3881.HK,011007_301740,次新股[HK],2026-05-09
HK_3887_HK_2025,3887.HK,011007_301740,次新股[HK],2026-05-09
HK_3896_HK_2022,3896.HK,011007_305848,人工智能[HK],2026-05-09
HK_3896_HK_2022,3896.HK,011007_305884,云计算[HK],2026-05-09
HK_3896_HK_2022,3896.HK,011007_308939,数字经济[HK],2026-05-09
HK_3896_HK_2022,3896.HK,011007_309047,AIGC概念[HK],2026-05-09
HK_3896_HK_2022,3896.HK,011007_309186,DeepSeek概念[HK],2026-05-09
HK_3931_HK_2022,3931.HK,011007_305798,锂电池[HK],2026-05-09
HK_3931_HK_2022,3931.HK,011007_309176,固态电池[HK],2026-05-09
HK_3986_HK_2026,3986.HK,011007_301740,次新股[HK],2026-05-09
HK_6031_HK_2025,6031.HK,011007_301740,次新股[HK],2026-05-09
HK_6082_HK_2026,6082.HK,011007_301740,次新股[HK],2026-05-09
HK_6086_HK_2024,6086.HK,011007_308100,互联网医疗[HK],2026-05-09
HK_6090_HK_2025,6090.HK,011007_301740,次新股[HK],2026-05-09
HK_6166_HK_2025,6166.HK,011007_301740,次新股[HK],2026-05-09
HK_6168_HK_2025,6168.HK,011007_301740,次新股[HK],2026-05-09
HK_6181_HK_2024,6181.HK,011007_301995,黄金[HK],2026-05-09
HK_6181_HK_2024,6181.HK,011007_306256,零售股[HK],2026-05-09
HK_6181_HK_2024,6181.HK,011007_308392,知名公司[HK],2026-05-09
HK_6600_HK_2025,6600.HK,011007_301740,次新股[HK],2026-05-09
HK_6603_HK_2025,6603.HK,011007_301740,次新股[HK],2026-05-09
HK_6613_HK_2025,6613.HK,011007_301740,次新股[HK],2026-05-09
HK_6636_HK_2026,6636.HK,011007_301740,次新股[HK],2026-05-09
HK_6639_HK_2022,6639.HK,011007_309019,牙科医疗[HK],2026-05-09
HK_6651_HK_2025,6651.HK,011007_301740,次新股[HK],2026-05-09
HK_6655_HK_2022,6655.HK,011007_305842,一带一路[HK],2026-05-09
HK_6655_HK_2022,6655.HK,011007_308900,高股息概念[HK],2026-05-09
HK_6656_HK_2026,6656.HK,011007_301740,次新股[HK],2026-05-09
HK_6661_HK_2022,6661.HK,011007_301760,天然气[HK],2026-05-09
HK_6680_HK_2022,6680.HK,011007_301764,稀土永磁[HK],2026-05-09
HK_6680_HK_2022,6680.HK,011007_308974,比亚迪概念[HK],2026-05-09
HK_6680_HK_2022,6680.HK,011007_309172,机器人概念[HK],2026-05-09
HK_6682_HK_2023,6682.HK,011007_308680,华为概念[HK],2026-05-09
HK_6682_HK_2023,6682.HK,011007_309186,DeepSeek概念[HK],2026-05-09
HK_6683_HK_2023,6683.HK,011007_309175,IP经济(谷子经济)[HK],2026-05-09
HK_6686_HK_2022,6686.HK,011007_306130,互联网金融[HK],2026-05-09
HK_6686_HK_2022,6686.HK,011007_308804,回港中概股[HK],2026-05-09
