ipo_id,stock_code,source,l1_name,l2_name,l3_name,l4_name,leaf_bid,leaf_level,data_date
HK_3650_HK_2023,3650.HK,sw,社会服务,体育Ⅱ,体育Ⅲ,,011008016001001,5,2026-05-09
HK_3650_HK_2023,3650.HK,ths_global,信息技术,软件与服务,软件,应用软件,011003008001057141,6,2026-05-09
HK_3660_HK_2022,3660.HK,ths_global,金融,金融服务,金融服务,特殊金融服务,011003007002048115,6,2026-05-09
HK_3677_HK_2025,3677.HK,sw,电力设备,电池,锂电池,,011008022005001,5,2026-05-09
HK_3677_HK_2025,3677.HK,ths_global,信息技术,技术硬件与设备,电子设备、仪器和元件,电子元件,011003008002060149,6,2026-05-09
HK_3696_HK_2025,3696.HK,sw,医药生物,化学制药,化学制剂,,011008011001002,5,2026-05-09
HK_3696_HK_2025,3696.HK,ths_global,医疗保健,制药、生物科技和生命科学,生物科技Ⅲ,生物科技Ⅳ,011003006002043106,6,2026-05-09
HK_3750_HK_2025,3750.HK,sw,电力设备,电池,锂电池,,011008022005001,5,2026-05-09
HK_3750_HK_2025,3750.HK,ths_global,信息技术,技术硬件与设备,电子设备、仪器和元件,电子元件,011003008002060149,6,2026-05-09
HK_3858_HK_2025,3858.HK,sw,有色金属,小金属,钨,,011008004004002,5,2026-05-09
HK_3858_HK_2025,3858.HK,ths_global,原材料,原材料Ⅱ,金属与采矿,贵重金属与矿石,011003002001006019,6,2026-05-09
HK_3880_HK_2025,3880.HK,ths_global,医疗保健,制药、生物科技和生命科学,生物科技Ⅲ,生物科技Ⅳ,011003006002043106,6,2026-05-09
HK_3881_HK_2025,3881.HK,ths_global,信息技术,软件与服务,软件,应用软件,011003008001057141,6,2026-05-09
HK_3887_HK_2025,3887.HK,ths_global,交易与支付处理服务,,,,161004_40201060,6,2026-05-09
HK_3896_HK_2022,3896.HK,sw,计算机,IT服务Ⅱ,IT服务Ⅲ,,011008025002001,5,2026-05-09
HK_3896_HK_2022,3896.HK,ths_global,信息技术,软件与服务,信息技术服务,互联网服务和基础设施,011003008001056141,6,2026-05-09
HK_3931_HK_2022,3931.HK,sw,电力设备,电池,锂电池,,011008022005001,5,2026-05-09
HK_3931_HK_2022,3931.HK,ths_global,公用事业,公用事业Ⅱ,独立电力生产商与能源贸易商Ⅲ,新能源发电业者,011003010001070165,6,2026-05-09
HK_3986_HK_2026,3986.HK,sw,电子,半导体,数字芯片设计,,011008005001003,5,2026-05-09
HK_3986_HK_2026,3986.HK,ths_global,信息技术,半导体产品与设备Ⅱ,半导体产品与设备Ⅲ,半导体产品,011003008003063156,6,2026-05-09
HK_6031_HK_2025,6031.HK,sw,机械设备,工程机械,工程机械整机,,011008023004001,5,2026-05-09
HK_6031_HK_2025,6031.HK,ths_global,工业,资本品,机械制造,建筑机械和重型运输设备,011003003001013029,6,2026-05-09
HK_6082_HK_2026,6082.HK,ths_global,信息技术,技术硬件与设备,电脑与外围设备,电脑硬件、储存设备及电脑周边,011003008002059148,6,2026-05-09
HK_6086_HK_2024,6086.HK,sw,医药生物,医药商业,互联网药店,,011008011004003,5,2026-05-09
HK_6086_HK_2024,6086.HK,ths_global,日常消费品,日常消费品分销和零售,日常消费品分销和零售,药品零售,011003005001034086,6,2026-05-09
HK_6090_HK_2025,6090.HK,sw,轻工制造,家居用品,其他家居用品,,011008010003005,5,2026-05-09
HK_6090_HK_2025,6090.HK,ths_global,非日常生活消费品,耐用消费品与服装,休闲设备与用品,消闲用品,011003004002025059,6,2026-05-09
